Jerarquia,Archivo,IndiceMantenibilidad,ComplejidadCiclomatica,LineasCodigoFuente,LineasCodigoEjecutable
"src","src/main.tsx","141.797","1","7","3"
"src/app","src/app/App.tsx","164.985","2","14","2"
"src/app","src/app/routes.tsx","82.853","1","85","37"
"src/app/components","src/app/components/Dashboard.tsx","105.369","19","316","90"
"src/app/components","src/app/components/Inventarios.tsx","101.88","157","913","488"
"src/app/components","src/app/components/Layout.tsx","106.616","11","173","73"
"src/app/components","src/app/components/Login.tsx","111.469","8","106","36"
"src/app/components","src/app/components/Perfiles.tsx","105.679","42","347","163"
"src/app/components","src/app/components/ProtectedRoute.tsx","119.493","6","24","11"
"src/app/components","src/app/components/Sucursales.tsx","106.995","38","339","155"
"src/app/components","src/app/components/Usuarios.tsx","105.268","70","556","271"
"src/app/components/figma","src/app/components/figma/ImageWithFallback.tsx","122.359","4","28","13"
"src/app/components/ui","src/app/components/ui/accordion.tsx","138.089","5","67","12"
"src/app/components/ui","src/app/components/ui/alert-dialog.tsx","133.553","12","158","34"
"src/app/components/ui","src/app/components/ui/alert.tsx","123.744","4","67","19"
"src/app/components/ui","src/app/components/ui/aspect-ratio.tsx","152.397","2","12","3"
"src/app/components/ui","src/app/components/ui/avatar.tsx","138.028","4","54","10"
"src/app/components/ui","src/app/components/ui/badge.tsx","113.676","3","47","16"
"src/app/components/ui","src/app/components/ui/breadcrumb.tsx","133.03","9","110","21"
"src/app/components/ui","src/app/components/ui/button.tsx","103.913","3","59","26"
"src/app/components/ui","src/app/components/ui/calendar.tsx","107.6","5","76","41"
"src/app/components/ui","src/app/components/ui/card.tsx","135.613","8","93","21"
"src/app/components/ui","src/app/components/ui/carousel.tsx","108.58","28","242","98"
"src/app/components/ui","src/app/components/ui/chart.tsx","100.82","66","354","115"
"src/app/components/ui","src/app/components/ui/checkbox.tsx","144.034","2","33","4"
"src/app/components/ui","src/app/components/ui/collapsible.tsx","147.269","4","34","7"
"src/app/components/ui","src/app/components/ui/command.tsx","134.981","10","178","26"
"src/app/components/ui","src/app/components/ui/context-menu.tsx","135.025","16","253","40"
"src/app/components/ui","src/app/components/ui/dialog.tsx","137.022","11","138","27"
"src/app/components/ui","src/app/components/ui/drawer.tsx","137.018","11","133","27"
"src/app/components/ui","src/app/components/ui/dropdown-menu.tsx","134.971","16","258","40"
"src/app/components/ui","src/app/components/ui/form.tsx","105.168","12","169","72"
"src/app/components/ui","src/app/components/ui/hover-card.tsx","141.726","4","45","8"
"src/app/components/ui","src/app/components/ui/input-otp.tsx","126.322","6","78","19"
"src/app/components/ui","src/app/components/ui/input.tsx","148.423","2","22","3"
"src/app/components/ui","src/app/components/ui/label.tsx","144.756","2","25","4"
"src/app/components/ui","src/app/components/ui/menubar.tsx","133.535","17","277","44"
"src/app/components/ui","src/app/components/ui/navigation-menu.tsx","130.187","10","169","28"
"src/app/components/ui","src/app/components/ui/pagination.tsx","131.397","10","128","23"
"src/app/components/ui","src/app/components/ui/popover.tsx","141.68","5","49","10"
"src/app/components/ui","src/app/components/ui/progress.tsx","135.226","3","32","5"
"src/app/components/ui","src/app/components/ui/radio-group.tsx","139.909","3","46","7"
"src/app/components/ui","src/app/components/ui/resizable.tsx","139.2","5","57","9"
"src/app/components/ui","src/app/components/ui/scroll-area.tsx","135.634","5","59","7"
"src/app/components/ui","src/app/components/ui/select.tsx","132.759","13","190","29"
"src/app/components/ui","src/app/components/ui/separator.tsx","141.937","2","29","4"
"src/app/components/ui","src/app/components/ui/sheet.tsx","134.501","15","140","27"
"src/app/components/ui","src/app/components/ui/sidebar.tsx","111.653","63","727","197"
"src/app/components/ui","src/app/components/ui/skeleton.tsx","149.668","2","14","3"
"src/app/components/ui","src/app/components/ui/slider.tsx","123.465","6","64","16"
"src/app/components/ui","src/app/components/ui/sonner.tsx","123.145","2","26","11"
"src/app/components/ui","src/app/components/ui/switch.tsx","139.952","2","32","5"
"src/app/components/ui","src/app/components/ui/table.tsx","134.509","9","117","25"
"src/app/components/ui","src/app/components/ui/tabs.tsx","136.776","5","67","13"
"src/app/components/ui","src/app/components/ui/textarea.tsx","149.668","2","19","3"
"src/app/components/ui","src/app/components/ui/toggle-group.tsx","114.872","7","74","18"
"src/app/components/ui","src/app/components/ui/toggle.tsx","109.269","2","48","21"
"src/app/components/ui","src/app/components/ui/tooltip.tsx","141.253","5","62","10"
"src/app/components/ui","src/app/components/ui/use-mobile.ts","126.947","5","22","18"
"src/app/components/ui","src/app/components/ui/utils.ts","147.376","2","7","4"
"src/app/context","src/app/context/AuthContext.tsx","114.225","8","58","38"
"src/app/data","src/app/data/mockData.ts","45.081","1","314","233"
"src/app/services","src/app/services/api.ts","116.005","44","237","228"
"src/app/types","src/app/types/index.ts","171","1","274","0"
"src/app/utils","src/app/utils/permissions.ts","118.509","11","40","32"
